Resonant ultrasound spectroscopy analysis. Units cm, g, GPa, MHz.
# Demonstration - 4140 steel fit

Free moduli are c11, c44,
Using 14th order polynomials. Mass =     29.7 g; rho =  7.82614 g/cm3

Using mirror planes.

  n    fexp(MHz)    fcalc(MHz)   %err wt     k    i     dlnf/dlnc11 dlnf/dlnc44 sum
  1    0.0984590    0.0982496   -0.21 1.00   4    1     0.00938     0.99034     0.99972
  2    0.0984590    0.0982496   -0.21 1.00   6    1     0.00938     0.99034     0.99972
  3    0.1212000    0.1212419    0.03 1.00   4    2    -0.00000     0.99975     0.99975
  4    0.1275010    0.1274423   -0.05 1.00   3    1     0.00413     0.99561     0.99974
  5    0.1275010    0.1274423   -0.05 1.00   5    1     0.00413     0.99561     0.99974
  6    0.1396570    0.1397319    0.05 1.00   8    1     0.04571     0.95390     0.99961
  7    0.1396570    0.1397319    0.05 1.00   2    1     0.04571     0.95390     0.99961
  8    0.1420650    0.1422107    0.10 1.00   7    1     0.05351     0.94606     0.99957
  9    0.1420650    0.1422107    0.10 1.00   1    1     0.05351     0.94606     0.99957
 10    0.1442790    0.1440507   -0.16 1.00   6    2     0.41883     0.57995     0.99878
 11    0.1574260    0.1576010    0.11 1.00   5    2     0.04684     0.95270     0.99954
 12    0.1651570    0.1650574   -0.06 1.00   8    2     0.00840     0.99132     0.99972
 13    0.1651570    0.1650574   -0.06 1.00   2    2     0.00840     0.99132     0.99972
 14    0.1712410    0.1711782   -0.04 1.00   5    3     0.08160     0.91789     0.99949
 15    0.1712410    0.1711782   -0.04 1.00   3    2     0.08160     0.91789     0.99949
 16    0.1778210    0.1777728   -0.03 1.00   1    2     0.32808     0.67079     0.99887
 17    0.1778210    0.1777728   -0.03 1.00   7    2     0.32808     0.67079     0.99887
 18    0.1877520    0.1876735   -0.04 1.00   8    3     0.10752     0.89192     0.99945
 19    0.1877520    0.1876735   -0.04 1.00   2    3     0.10752     0.89192     0.99945
 20    0.0000000    0.1930692     inf 0.00   5    4     0.45389     0.54487     0.99876
 21    0.1932810    0.1932030   -0.04 1.00   7    3     0.00115     0.99860     0.99975
 22    0.1932810    0.1932030   -0.04 1.00   1    3     0.00115     0.99860     0.99975
 23    0.1949330    0.1949696    0.02 1.00   4    3     0.06633     0.93321     0.99954
 24    0.1949330    0.1949696    0.02 1.00   6    3     0.06633     0.93321     0.99954
 25    0.2061370    0.2061877    0.02 1.00   7    4     0.09227     0.90720     0.99947
 26    0.2061370    0.2061877    0.02 1.00   1    4     0.09227     0.90720     0.99947
 27    0.2186000    0.2186748    0.03 1.00   7    5     0.13640     0.86297     0.99937
 28    0.2186000    0.2186748    0.03 1.00   1    5     0.13640     0.86297     0.99937
 29    0.2260000    0.2256944   -0.14 1.00   6    4     0.00685     0.99288     0.99973
 30    0.2260000    0.2256944   -0.14 1.00   4    4     0.00685     0.99288     0.99973
 31    0.2261210    0.2263402    0.10 1.00   6    5     0.13365     0.86576     0.99941
 32    0.2363210    0.2364309    0.05 1.00   5    5     0.25940     0.73965     0.99905
 33    0.2363210    0.2364309    0.05 1.00   3    3     0.25940     0.73965     0.99905
 34    0.2410640    0.2409142   -0.06 1.00   5    6     1.01716    -0.01949     0.99768
 35    0.2422400    0.2424838    0.10 1.00   3    4    -0.00000     0.99975     0.99975
 36    0.2427500    0.2425144   -0.10 1.00   5    7     0.01005     0.98966     0.99971
 37    0.2427500    0.2425144   -0.10 1.00   3    5     0.01005     0.98966     0.99971
 38    0.2445260    0.2443986   -0.05 1.00   8    4     0.17628     0.82304     0.99932
